job_id,student_id,skill,student_has_skill,job_requires_skill,match
J001,S001,Data Visualization,0,1,0
J001,S001,Excel,1,1,1
J001,S001,Pandas,1,0,0
J001,S001,Power BI,1,1,1
J001,S001,Python,1,1,1
J001,S001,SQL,1,1,1
J001,S001,Statistics,1,1,1
J001,S002,Data Visualization,1,1,1
J001,S002,Excel,1,1,1
J001,S002,Git,1,0,0
J001,S002,Power BI,0,1,0
J001,S002,Python,1,1,1
J001,S002,SQL,1,1,1
J001,S002,Statistics,0,1,0
J001,S002,Tableau,1,0,0
J001,S003,Data Visualization,0,1,0
J001,S003,Excel,1,1,1
J001,S003,NumPy,1,0,0
J001,S003,Pandas,1,0,0
J001,S003,Power BI,1,1,1
J001,S003,Python,1,1,1
J001,S003,SQL,1,1,1
J001,S003,Statistics,0,1,0
J001,S004,Data Visualization,0,1,0
J001,S004,Excel,1,1,1
J001,S004,Power BI,0,1,0
J001,S004,Python,1,1,1
J001,S004,R,1,0,0
J001,S004,SQL,1,1,1
J001,S004,Statistics,1,1,1
J001,S004,Tableau,1,0,0
J001,S005,Communication,1,0,0
J001,S005,Data Visualization,1,1,1
J001,S005,Excel,1,1,1
J001,S005,Power BI,1,1,1
J001,S005,Python,1,1,1
J001,S005,SQL,1,1,1
J001,S005,Statistics,0,1,0
J001,S006,Data Visualization,0,1,0
J001,S006,Excel,0,1,0
J001,S006,Machine Learning,1,0,0
J001,S006,Pandas,1,0,0
J001,S006,Power BI,1,1,1
J001,S006,Python,1,1,1
J001,S006,SQL,1,1,1
J001,S006,Statistics,0,1,0
J001,S006,Tableau,1,0,0
J001,S007,Communication,1,0,0
J001,S007,Data Visualization,0,1,0
J001,S007,Excel,1,1,1
J001,S007,Git,1,0,0
J001,S007,Java,1,0,0
J001,S007,MySQL,1,0,0
J001,S007,Power BI,0,1,0
J001,S007,Python,1,1,1
J001,S007,SQL,0,1,0
J001,S007,Statistics,0,1,0
J001,S008,Data Visualization,0,1,0
J001,S008,Excel,1,1,1
J001,S008,Machine Learning,1,0,0
J001,S008,Power BI,1,1,1
J001,S008,Python,1,1,1
J001,S008,SQL,1,1,1
J001,S008,Statistics,1,1,1
J001,S009,Data Visualization,0,1,0
J001,S009,Excel,0,1,0
J001,S009,GitHub,1,0,0
J001,S009,NumPy,1,0,0
J001,S009,Pandas,1,0,0
J001,S009,Power BI,0,1,0
J001,S009,Python,1,1,1
J001,S009,SQL,1,1,1
J001,S009,Statistics,0,1,0
J001,S009,Tableau,1,0,0
J001,S010,Communication,1,0,0
J001,S010,Data Visualization,0,1,0
J001,S010,Excel,1,1,1
J001,S010,Power BI,1,1,1
J001,S010,Presentation,1,0,0
J001,S010,Python,0,1,0
J001,S010,SQL,1,1,1
J001,S010,Statistics,1,1,1
J002,S001,Communication,0,1,0
J002,S001,Data Visualization,0,1,0
J002,S001,Excel,1,0,0
J002,S001,Pandas,1,0,0
J002,S001,Power BI,1,0,0
J002,S001,Python,1,1,1
J002,S001,SQL,1,1,1
J002,S001,Statistics,1,1,1
J002,S001,Tableau,0,1,0
J002,S002,Communication,0,1,0
J002,S002,Data Visualization,1,1,1
J002,S002,Excel,1,0,0
J002,S002,Git,1,0,0
J002,S002,Python,1,1,1
J002,S002,SQL,1,1,1
J002,S002,Statistics,0,1,0
J002,S002,Tableau,1,1,1
J002,S003,Communication,0,1,0
J002,S003,Data Visualization,0,1,0
J002,S003,Excel,1,0,0
J002,S003,NumPy,1,0,0
J002,S003,Pandas,1,0,0
J002,S003,Power BI,1,0,0
J002,S003,Python,1,1,1
J002,S003,SQL,1,1,1
J002,S003,Statistics,0,1,0
J002,S003,Tableau,0,1,0
J002,S004,Communication,0,1,0
J002,S004,Data Visualization,0,1,0
J002,S004,Excel,1,0,0
J002,S004,Python,1,1,1
J002,S004,R,1,0,0
J002,S004,SQL,1,1,1
J002,S004,Statistics,1,1,1
J002,S004,Tableau,1,1,1
J002,S005,Communication,1,1,1
J002,S005,Data Visualization,1,1,1
J002,S005,Excel,1,0,0
J002,S005,Power BI,1,0,0
J002,S005,Python,1,1,1
J002,S005,SQL,1,1,1
J002,S005,Statistics,0,1,0
J002,S005,Tableau,0,1,0
J002,S006,Communication,0,1,0
J002,S006,Data Visualization,0,1,0
J002,S006,Machine Learning,1,0,0
J002,S006,Pandas,1,0,0
J002,S006,Power BI,1,0,0
J002,S006,Python,1,1,1
J002,S006,SQL,1,1,1
J002,S006,Statistics,0,1,0
J002,S006,Tableau,1,1,1
J002,S007,Communication,1,1,1
J002,S007,Data Visualization,0,1,0
J002,S007,Excel,1,0,0
J002,S007,Git,1,0,0
J002,S007,Java,1,0,0
J002,S007,MySQL,1,0,0
J002,S007,Python,1,1,1
J002,S007,SQL,0,1,0
J002,S007,Statistics,0,1,0
J002,S007,Tableau,0,1,0
J002,S008,Communication,0,1,0
J002,S008,Data Visualization,0,1,0
J002,S008,Excel,1,0,0
J002,S008,Machine Learning,1,0,0
J002,S008,Power BI,1,0,0
J002,S008,Python,1,1,1
J002,S008,SQL,1,1,1
J002,S008,Statistics,1,1,1
J002,S008,Tableau,0,1,0
J002,S009,Communication,0,1,0
J002,S009,Data Visualization,0,1,0
J002,S009,GitHub,1,0,0
J002,S009,NumPy,1,0,0
J002,S009,Pandas,1,0,0
J002,S009,Python,1,1,1
J002,S009,SQL,1,1,1
J002,S009,Statistics,0,1,0
J002,S009,Tableau,1,1,1
J002,S010,Communication,1,1,1
J002,S010,Data Visualization,0,1,0
J002,S010,Excel,1,0,0
J002,S010,Power BI,1,0,0
J002,S010,Presentation,1,0,0
J002,S010,Python,0,1,0
J002,S010,SQL,1,1,1
J002,S010,Statistics,1,1,1
J002,S010,Tableau,0,1,0
J003,S001,Business Analysis,0,1,0
J003,S001,Communication,0,1,0
J003,S001,Data Visualization,0,1,0
J003,S001,Excel,1,1,1
J003,S001,Pandas,1,0,0
J003,S001,Power BI,1,1,1
J003,S001,Python,1,0,0
J003,S001,SQL,1,1,1
J003,S001,Statistics,1,0,0
J003,S002,Business Analysis,0,1,0
J003,S002,Communication,0,1,0
J003,S002,Data Visualization,1,1,1
J003,S002,Excel,1,1,1
J003,S002,Git,1,0,0
J003,S002,Power BI,0,1,0
J003,S002,Python,1,0,0
J003,S002,SQL,1,1,1
J003,S002,Tableau,1,0,0
